"styrk08_code","occupation_label_no","employees_2025q4","fte_2025q1","fte_2025q2","fte_2025q3","fte_2025q4","annual_fte_proxy_2025","annual_fte_status","workforce_source_id","occupation_factor_low","occupation_factor_base","occupation_factor_high","factor_status","factor_source_id","potential_basis","rationale"
"0000","Uoppgitt / yrker som ikke kan identifiseres","8530","5212","5205","4688","5714","5204.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"0110","Offiserer fra fenrik og høyere grad","4978","4895","4893","4995","5003","4946.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"0210","Befal med sersjant grad","5039","4715","4791","4784","5004","4823.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"0310","Menige","15494","15081","14889","15617","15345","15233","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1111","Politikere","1380","1052","1058","1044","1050","1051","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1112","Toppledere i offentlig administrasjon","991","964","973","960","985","970.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1114","Toppledere i interesseorganisasjoner","2376","2226","2301","2280","2287","2273.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1120","Administrerende direktører","37853","36073","36131","35922","36131","36064.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1211","Finans- og økonomisjefer","8783","8600","8589","8563","8655","8601.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1212","Personalsjefer","2337","2348","2308","2280","2295","2307.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1213","Strategi- og planleggingssjefer","4895","4759","4813","4841","4876","4822.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1219","Andre administrative ledere","26067","24694","25112","25010","25251","25016.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1221","Salgs- og markedssjefer","16092","16067","15922","15746","15855","15897.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1222","PR- og informasjonssjefer","1879","1795","1792","1791","1799","1794.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1223","Forsknings- og utviklingsledere","3126","3031","3046","3047","3068","3048","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1311","Ledere i skogbruk, gartnerier mv.","671","658","658","660","648","656","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1312","Ledere innen akvakultur mv.","390","379","393","407","395","393.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1321","Ledere av industriproduksjon mv.","12746","12267","12342","12313","12485","12351.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1322","Ledere av olje- og gassutvinning mv.","8017","7980","7997","7983","7981","7985.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1323","Ledere av bygge- og anleggsvirksomhet","16240","15033","15229","15253","15594","15277.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1324","Ledere av logistikk og transport mv.","8969","8894","8759","8794","8740","8796.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1330","Ledere av IKT-enheter","6118","5888","5874","5882","5971","5903.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1341","Ledere av omsorgstjenester for barn","4019","3964","3957","3956","3936","3953.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1342","Ledere av helsetjenester","12447","12067","12119","12153","12381","12180","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1343","Ledere av eldreomsorg","2116","2164","2158","2140","2103","2141.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1344","Ledere av sosialomsorg","1737","1749","1738","1710","1668","1716.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1345","Ledere av utdanning og undervisning","11373","11051","11057","11152","11152","11103","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1346","Ledere av forsikring og finansvirksomhet","5074","5134","5003","4998","5000","5033.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1349","Andre ledere av produksjon og tjenesteyting","5765","5734","5737","5639","5680","5697.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1411","Hotellsjefer","773","748","776","801","751","769","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1412","Restaurantsjefer","3865","3507","3615","3692","3727","3635.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1420","Varehandelssjefer","34373","32426","32689","32821","32993","32732.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1431","Sports-, rekreasjons- og kultursenterledere","2941","2770","2782","2779","2782","2778.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"1439","Andre daglige ledere i tjenesteytende virksomheter","1189","1062","1081","1086","1091","1080","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2111","Fysikere og astronomer","528","495","503","503","512","503.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2112","Meteorologer","307","286","286","292","291","288.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2113","Kjemikere","936","911","903","918","905","909.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2114","Geologer og geofysikere","2847","2728","2744","2813","2792","2769.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2120","Matematikere, statistikere mv.","1793","1592","1613","1645","1700","1637.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2131","Biologer, botanikere, zoologer mv.","1878","1661","1657","1676","1767","1690.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2132","Sivilagronomer mv.","621","546","555","562","578","560.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2133","Miljøvernrådgivere","1140","953","1029","1083","1087","1038","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"2141","Sivilingeniører (industri og produksjon)","1140","1148","1126","1128","1121","1130.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
